"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Sep 16 20:02:48 GMT 2022","Fri Sep 16 20:02:48 GMT 2022","0","API Full","API","api.nft.LikeUnlikeNftTests","api.nft.LikeUnlikeNftTests","likeAndUnlikeNft","Like and unlike nft",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","556","API Full","API","api.social.profile.EditProfileSocialLinksTests","api.social.profile.EditProfileSocialLinksTests","editProfileLinkedin","Edit profile linkedin",""
"passed","Fri Sep 16 20:02:57 GMT 2022","Fri Sep 16 20:02:57 GMT 2022","155","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidTwitch","Edit profile. Invalid twitch",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","115","API Full","API","api.nft.PinUnpinNftTests","api.nft.PinUnpinNftTests","unpinUnauthorized","Unpin. Unauthorized",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","151","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidFacebook","Edit profile. Invalid facebook",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:51 GMT 2022","205","API Full","API","api.nft.search.SearchNftTests","api.nft.search.SearchNftTests","searchInWalletMostRecent","searchInWalletMostRecent",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","267","API Full","API","api.nft.search.SearchNftTests","api.nft.search.SearchNftTests","searchInWalletOnSale","searchInWalletOnSale",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","7465","API Full","API","api.nft.UserPinnedNftTests","api.nft.UserPinnedNftTests","getPinnedNfts","Get pinned nfts",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","110","API Full","API","api.nft.search.SearchNftNegativeTests","api.nft.search.SearchNftNegativeTests","searchNftsUnauthorized","searchNftsUnauthorized",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","1321","API Full","API","api.social.profile.EditProfileSocialLinksTests","api.social.profile.EditProfileSocialLinksTests","editProfileDiscord","Edit profile discord",""
"passed","Fri Sep 16 20:03:00 GMT 2022","Fri Sep 16 20:03:00 GMT 2022","355","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","getCollectionsSettings","Get collection settings",""
